,Annotator,Paper,Cited-by,Follow-up,Citation,Context,Cleaned_context
52,A,I05-2038,P06-4005,2,"(Tateisi et al., 2005)","In the table, ‘HPSG-PTB’ means that the statistical model was trained on Penn Treebank. ‘HPSG-GENIA’ means that the statistical model was trained on both Penn Treebank and GENIA treebank as described in (Hara et al., 2005). The GENIA treebank (Tateisi et al., 2005) consists of 500 abstracts (4,446 sentences) extracted from MEDLINE. ture structure for the sentence “NASA officials vowed to land Discovery early Tuesday at one of three locations after weather conditions forced them to scrub Monday’s scheduled return.” Figure 2 shows the top page of the MEDIE. MEDIE is an intelligent search engine for the accurate retrieval of relational concepts from MEDLINE 2 (Miyao et al., 2006).",the table means that the statistical model was trained on Penn Treebank means that the statistical model was trained on both Penn Treebank and treebank as described in The treebank consists of abstracts extracted from ture structure for the sentence officials vowed to land early Tuesday at of locations after weather conditions forced them to scrub scheduled Figure shows the top page of the is an intelligent search engine for the accurate retrieval of relational concepts from
53,A,J02-3001,C04-1018,0,Gildea and Jurafsky’s (2002),"An advantage over our work, however, is that Bethard et al. (2004) do not require separate solutions to pse identification and the identification of their direct sources. Automatic identification of sources has also been addressed indirectly by Gildea and Jurafsky’s (2002) work on semantic role identification in that finding sources often corresponds to finding the filler of the agent role for verbs. Their methods then might be used to identify sources and associate them with pse’s that are verbs or portions of verb phrases.",advantage over our work however is that do not require separate solutions to pse identification and the identification of their direct sources Automatic identification of sources has also been addressed indirectly by work on semantic role identification in that finding sources often corresponds to finding the filler of the agent role for verbs Their methods then might be used to identify sources and associate them with pse that are verbs or portions of verb phrases
54,A,J02-3001,D08-1094,0,"(Gildea and Jurafsky, 2002)","In linguistics, expectations, in the form of selectional restrictions and selectional preferences, have long been used in semantic theories (Katz and Fodor, 1964; Wilks, 1975), and more recently induced from corpora (Resnik, 1996; Brockmann and Lapata, 2003). Attention has mostly been limited to selectional preferences of verbs, which have been used for example for syntactic disambiguation (Hindle and Rooth, 1993), word sense disambiguation (McCarthy and Carroll, 2003) and semantic role labeling (Gildea and Jurafsky, 2002). Recently, a vectorspaced model of selectional preferences has been proposed that computes the typicality of an argument simply through similarity to previously seen arguments (Erk, 2007; Padó et al., 2007). that integrates lexical information with selectional preferences.",linguistics expectations in the form of selectional restrictions and selectional preferences have long been used in semantic theories and more recently induced from corpora Attention has mostly been limited to selectional preferences of verbs which have been used for example for syntactic disambiguation word sense disambiguation and semantic role labeling Recently vectorspaced model of selectional preferences has been proposed that computes the typicality of an argument simply through similarity to previously seen arguments that integrates lexical information with selectional preferences
55,A,J02-3001,E03-1040,0,"(Riloff and Schmelzenbach, 1998; Gildea and Jurafsky, 2002)","Wide-coverage language processing systems require large amounts of knowledge about individual words, leading to a lexical acquisition bottleneck. Because verbs play a central role in the syntactic and semantic interpretation of a sentence, much research has focused on automatically learning properties of verbs from text corpora, such as their subcategorization (Brent, 1993; Briscoe and Carroll, 1997), argument roles (Riloff and Schmelzenbach, 1998; Gildea and Jurafsky, 2002), selectional preferences (Resnik, 1996), and lexical semantic classification (Dorr and Jones, 1996; Lapata and Brew, 1999; Schulte im Walde, 2000; Merlo and Stevenson, 2001). Our work aims to extend the applicability of the latter, by developing a general feature space for automatic verb classification.",Wide coverage language processing systems require large amounts of knowledge about individual words leading to lexical acquisition bottleneck Because verbs play central role in the syntactic and semantic interpretation of sentence much research has focused on automatically learning properties of verbs from text corpora such as their subcategorization argument roles selectional preferences and lexical semantic classification Our work aims to extend the applicability of the latter by developing general feature space for automatic verb classification
56,A,J02-3001,P04-1043,1,"(Gildea and Jurasfky, 2002; Gildea and Palmer, 2002; Surdeanu et al., 2003; Hacioglu et al., 2003)","Arg. 1 Figure 1: A predicate argument structure in a parse-tree representation. Several machine learning approaches for argument identification and classification have been developed (Gildea and Jurasfky, 2002; Gildea and Palmer, 2002; Surdeanu et al., 2003; Hacioglu et al., 2003). Their common characteristic is the adoption of feature spaces that model predicate-argument structures in a flat representation.",Arg Figure predicate argument structure in parse tree representation Several machine learning approaches for argument identification and classification have been developed Their common characteristic is the adoption of feature spaces that model predicate argument structures in flat representation
57,A,J02-3001,P07-1071,2,"(Pradhan et al., 2004; Gildea and Jurafsky, 2002)","We describe a novel neural network architecture for the problem of semantic role labeling. Many current solutions are complicated, consist of several stages and handbuilt features, and are too slow to be applied as part of real applications that require such semantic labels, partly because of their use of a syntactic parser (Pradhan et al., 2004; Gildea and Jurafsky, 2002). Our method instead learns a direct mapping from source sentence to semantic tags for a given predicate without the aid of a parser or a chunker.",describe novel neural network architecture for the problem of semantic role labeling Many current solutions are complicated consist of several stages and handbuilt features and are too slow to be applied as part of real applications that require such semantic labels partly because of their use of syntactic parser Our method instead learns direct mapping from source sentence to semantic tags for given predicate without the aid of parser or chunker
58,A,J96-1002,A00-1019,0,"(Brown et al., 1993; Berger et al., 1996; Och and Weber, 98; Wang and Waibel, 98; Wu and Wong, 98)","For example, the translation model could have a higher weight at the start of a sentence but the contribution of the language model might become more important in the middle or the end of the sentence• A study of the weightings for these two models is described elsewhere• In the work described here we did not use the contribution of the language model (that is, a( t ' ,  s) = O, V t', s). Techniques for weakening the independence assumptions made by the IBM models 1 and 2 have been proposed in recent work (Brown et al., 1993; Berger et al., 1996; Och and Weber, 98; Wang and Waibel, 98; Wu and Wong, 98). These studies report improvements on some specific tasks (task-oriented limited vocabulary) which by nature are very different from the task TRANSTYPE is devoted to.",For example the translation model could have higher weight at the start of sentence but the contribution of the language model might become more important in the middle or the end of the study of the weightings for these models is described the work described here we did not use the contribution of the language model that is Techniques for weakening the independence assumptions made by the models and have been proposed in recent work These studies report improvements on some specific tasks which by nature are very different from the task is devoted to
59,A,J96-1002,A00-2026,2,"(Berger et al., 1996)","These packages require linguistic sophistication in order to write the abstract semantic representation, but they are flexible because minor changes to the input can accomplish major changes to the generated text. The only trainable approaches (known to the author) to surface generation are the purely statistical machine translation (MT) systems such as (Berger et al., 1996) and the corpus-based generation system described in (Langkilde and Knight, 1998). The MT systems of (Berger et al., 1996) learn to generate text in the target language straight from the source language, without the aid of an explicit semantic representation.",These packages require linguistic sophistication in order to write the abstract semantic representation but they are flexible because minor changes to the input can accomplish major changes to the generated text The only trainable approaches to surface generation are the purely statistical machine translation systems such as and the corpus based generation system described in The systems of learn to generate text in the target language straight from the source language without the aid of an explicit semantic representation
60,A,J96-1002,A00-2031,0,"(Berger et al., 1996)","Features can be fairly simple and easily read off the tree (e.g. 'this node's label is X', 'this node's parent's label is Y'), or slightly more complex ('this node's head's partof-speech is Z'). This is concordant with the usage in the maximum entropy literature (Berger et al., 1996). When using a number of known features to guess an unknown one, the usual procedure is to calculate the value of each feature, and then essentially look up the empirically most probable value for the feature to be guessed based on those known values.",Features can be fairly simple and easily read off the tree or slightly more complex This is concordant with the usage in the maximum entropy literature When using number of known features to guess an unknown one the usual procedure is to calculate the value of each feature and then essentially look up the empirically most probable value for the feature to be guessed based on those known values
61,A,J96-1002,A97-1056,0,"(Berger et al., 1996)","Decomposable models are those graphical models that express the joint distribution as the product of the marginal distributions of the variables in the maximal  cliques of the graphical representation, scaled by the marginal distributions of variables common to two or more of these maximal sets. Because their joint distributions have such closed-form expressions, the parameters can be estimated directly from the training data without the need for an iterative fitting procedure (as is required, for example, to estimate the parameters of maximum entropy models; (Berger et al., 1996)). 3. Although there are far fewer decomposable models than log-linear models for a given set of feature variables, it has been shown that they have substantially the same expressive power (Whittaker, 1990).",Decomposable models are those graphical models that express the joint distribution as the product of the marginal distributions of the variables in the maximal cliques of the graphical representation scaled by the marginal distributions of variables common to two or more of these maximal sets Because their joint distributions have such closed form expressions the parameters can be estimated directly from the training data without the need for an iterative fitting procedure Although there are far fewer decomposable models than log linear models for given set of feature variables it has been shown that they have substantially the same expressive power
62,A,J96-1002,C00-1060,0,"(Berger et al., 1996)","Our statistical model is called the Triplet/Quadruplet Model, which was named after the number of constituents in the conditional parts of the equations. We report that our parsing framework achieved high accuracy (88.6%) in dependency analysis of Japanese with a combination of an underspecified HPSG-based Japanese grammar, SLUNG (Mitsuishi et al., 1998) and the maximum entropy method (Berger et al., 1996). Moreover, the resulting parse trees generated by our hybrid parser are legitimate trees in terms of given hand-crafted grammars, and we are expecting that we can enjoy advantages provided by high-level grammar formalisms, such as construction of semantic structures.",Our statistical model is called the which was named after the number of constituents in the conditional parts of the equations report that our parsing framework achieved high accuracy in dependency analysis of with combination of an underspecified based grammar and the maximum entropy method Moreover the resulting parse trees generated by our hybrid parser are legitimate trees in terms of given hand crafted grammars and we are expecting that we can enjoy advantages provided by high level grammar formalisms such as construction of semantic structures
63,A,J96-1002,C00-1061,0,"(Berger et al., 1996)","In order to solve a sparseness problem, Maximum Entropy Model, Back-o�, and Linear interpolation methods are used. They combine di�erent statistical estimators. (Tae-il Kim, 2000) use up to �ve phonemes in feature function(Berger et al., 1996). Nine feature functions are combined with Maximum Entropy Method.",order to solve sparseness problem Maximum Entropy Model Back and interpolation methods are used They combine statistical estimators use up to phonemes in feature function feature functions are combined with Maximum Entropy Method
64,A,J96-1002,C00-1064,1,"(Brown et al., 1993; Berger et al., 1996; Melamed, 1997)","Aligned texts have been used for derivation of bilingual dictionaries and terminology databases which are useful for machine translation and cross languages information retrieval. Thus, a lot of alignment techniques have been suggested at the sentence (Gale et al., 1993), phrase (Shin et al., 1996), noun phrase (Kupiec, 1993), word (Brown et al., 1993; Berger et al., 1996; Melamed, 1997), collocation (Smadja et al., 1996) and terminology level. Some work has used lexical association measures for word alignments.",Aligned texts have been used for derivation of bilingual dictionaries and terminology databases which are useful for machine translation and cross languages information retrieval Thus lot of alignment techniques have been suggested at the sentence phrase noun phrase word collocation and terminology level Some work has used lexical association measures for word alignments
65,A,J96-1002,C00-2124,0,"(Berger et al., 1996)","During evaluation it is tested which features are active (i.e. a feature is active when the context meets the requirements given by the feature). For every class the weights of the active features are combined and the best scoring class is chosen (Berger et al., 1996). For the classi�er built here the surrounding words, their POS tags and baseNP tags predicted for the previous words are used as evidence.",During evaluation it is tested which features are active For every class the weights of the active features are combined and the best scoring class is chosen For the built here the surrounding words their tags and tags predicted for the previous words are used as evidence
66,A,J96-1002,C02-1064,1,"(Berger et al., 1996; Ristad, 1997; Ristad, 1998)","The goal of this model is to select optimal sets of morphemes and dependencies that can generate natural sentences. We implemented these models within an maximum entropy framework (Berger et al., 1996; Ristad, 1997; Ristad, 1998). 4.1 Keyword-Production Models This section describes five keyword-production models which are represented by P (K|M,D,T ) in Eq. (4). In these models, we define the set of headwords whose frequency in the corpus is over a certain threshold as a set of keywords, KS, and we restrict the bunsetsus to those generated by the generation rules represented in form (5).",The goal of this model is to select optimal sets of morphemes and dependencies that can generate natural sentences implemented these models within an maximum entropy framework Keyword Production Models This section describes keyword production models which are represented by in these models we define the set of headwords whose frequency in the corpus is over certain threshold as set of keywords and we restrict the bunsetsus to those generated by the generation rules represented in form
67,A,J96-1002,D07-1051,1,"(Berger et al., 1996)","Using disagreement exclusively for selection requires only one parameter,viz. the batch sizeb, to be specified. For our AL framework we decided to employ a Maximum Entropy (ME) classifier (Berger et al., 1996). We employ a rich set of features (see Table 1) which are general enough to be used in most (sub)domains for entity recognition.",Using disagreement exclusively for selection requires only one parameter viz the batch sizeb to be specified For our framework we decided to employ Maximum Entropy classifier employ rich set of features which are general enough to be used in most domains for entity recognition
68,A,J96-1002,C10-3004,0,"(Berger et al., 1996)","Named Entity Recognition (NER): LTP can identify six sorts of named entity: Person, Loc, Org, Time, Date and Quantity. A maximum entropy model (Berger et al., 1996) is adopted here. We still used the People’s Daily corpus. 4.",Named Entity Recognition can identify sorts of named entity Person Loc Org Time Date and Quantity maximum entropy model is adopted here still used the People Daily corpus
69,A,J96-1002,P05-1020,0,"(Berger et al., 1996)","Learning algorithms. We consider three learning algorithms, namely, the C4.5 decision tree induction system (Quinlan, 1993), the RIPPER rule learning algorithm (Cohen, 1995), and maximum entropy classification (Berger et al., 1996). The classification model induced by each of these learners returns a number between 0 and 1 that indicates the likelihood that the two NPs under consideration are coreferent.",Learning algorithms consider learning algorithms namely the decision tree induction system the rule learning algorithm and maximum entropy classification The classification model induced by each of these learners returns number between and that indicates the likelihood that the under consideration are coreferent
70,A,J96-1002,P10-1142,0,"(Berger et al., 1996)","Decision tree induction systems (e.g., C5 (Quinlan, 1993)) are the first and one of the most widely used learning algorithms by coreference researchers, although rule learners (e.g., RIPPER (Cohen, 1995)) and memory-based learners (e.g., TiMBL (Daelemans and Van den Bosch, 2005)) are also popular choices, especially in early applications of machine learning to coreference resolution. In recent years, statistical learners such as maximum entropy models (Berger et al., 1996), voted perceptrons (Freund and Schapire, 1999), 3In this paper, we use the termanaphoricto describe any NP that is part of a coreference chain but is not the head of the chain. Hence, proper names can be anaphoric under this overloaded definition, but linguistically, they are not. and support vector machines (Joachims, 1999) have been increasingly used, in part due to their ability to provide a confidence value (e.g., in the form of a probability) associated with a classification, and in part due to the fact that they can be easily adapted to train recently proposed rankingbased coreference models (see Section 3.3).",Decision tree induction systems are the and one of the most widely used learning algorithms by coreference researchers although rule and memory based are also popular choices especially in early applications of machine learning to coreference resolution recent years statistical such as maximum entropy models voted perceptrons this paper we use the termanaphoricto describe any that is part of coreference chain but is not the head of the chain Hence proper names can be anaphoric under this overloaded definition but linguistically they are not and support vector machines have been increasingly used in part due to their ability to provide confidence value associated with classification and in part due to the fact that they can be easily adapted to train recently proposed rankingbased coreference models
71,A,J96-1002,P98-2214,2,"(Della Pietra et al., 1997; Berger et al., 1996)","First, we introduce a model of generating a collocation of a verb and argument /adjunct  nouns (section 2) and then view the model as a probability model (section 3). As a model learning method, we adopt the maximum entropy model learning method (Della Pietra et al., 1997; Berger et al., 1996). Case dependencies and noun class generalization are represented as features in the maximum entropy approach.",we introduce model of generating collocation of verb and argument nouns and then view the model as probability model model learning method we adopt the maximum entropy model learning method Case dependencies and noun class generalization are represented as features in the maximum entropy approach
72,A,J96-1002,P99-1069,0,Berger et al. (1996),"Regardless of the pragmatic (computational) motivation, one could perhaps argue that the conditional probabilities Po(wly ) are as useful (if not more useful) as the full probabilities P0(w), at least in those cases for which the ultimate goal is syntactic analysis. Berger et al. (1996) and Jelinek (1997) make this same point and arrive at the same estimator, albeit through a maximum entropy argument. The problem of estimating parameters for log-linear models is not new.",Regardless of the pragmatic motivation one could perhaps argue that the conditional probabilities are as useful as the full probabilities at least in those cases for which the ultimate goal is syntactic analysis and make this same point and arrive at the same estimator albeit through maximum entropy argument The problem of estimating parameters for log linear models is not new
73,A,J96-1002,P02-1002,0,"(Berger et al., 1996)","Rather than attempting to train all model parameters simultaneously, the algorithm trains them sequentially. The algorithm is easy to implement, typically uses only slightly more memory, and will lead to improvements for most maximum entropy problems. 1 Introduction Conditional Maximum Entropy models have been used for a variety of natural language tasks, including Language Modeling (Rosenfeld, 1994), partof-speech tagging, prepositional phrase attachment, and parsing (Ratnaparkhi, 1998), word selection for machine translation (Berger et al., 1996), and finding sentence boundaries (Reynar and Ratnaparkhi, 1997). Unfortunately, although maximum entropy (maxent) models can be applied very generally, the typical training algorithm for maxent, Generalized Iterative Scaling (GIS) (Darroch and Ratcliff, 1972), can be extremely slow.",Rather than attempting to train all model parameters simultaneously the algorithm trains them sequentially The algorithm is easy to implement typically uses only slightly more memory and will lead to improvements for most maximum entropy problems Introduction Conditional Maximum Entropy models have been used for variety of natural language tasks including Language Modeling partof speech tagging prepositional phrase attachment and parsing word selection for machine translation and finding sentence boundaries Unfortunately although maximum entropy models can be applied very generally the typical training algorithm for maxent Generalized Iterative Scaling can be extremely slow
74,A,J96-1002,P05-1066,0,"(Berger et al., 1996; Niessen and Ney, 2004; Xia and McCord, 2004)","Our approach involves a preprocessing step, where sentences in the language being translated are modified before being passed to an existing phrasebased translation system. A number of other researchers (Berger et al., 1996; Niessen and Ney, 2004; Xia and McCord, 2004) have described previous work on preprocessing methods. (Berger et al., 1996) describe an approach that targets translation of French phrases of the form NOUN de NOUN (e.g., conflit d’intérêt). This was a relatively limited study, concentrating on this one syntactic phenomenon which involves relatively local transformations (a parser was not required in this study). (Niessen and Ney, 2004) describe a method that combines morphologically–split verbs in German, and also reorders questions in English and German.",Our approach involves preprocessing step where sentences in the language being translated are modified before being passed to an existing phrasebased translation system number of other researchers have described previous work on preprocessing methods describe an approach that targets translation of phrases of the form de This was relatively limited study concentrating on this syntactic phenomenon which involves relatively local transformations describe method that combines verbs in and also reorders questions in and
75,A,J96-1002,W00-0707,1,"(Berger et al., 1996)","However, this appears to be a weak technique (Langlais and Foster, 2000), even when A is allowed to depend on various features of the context (hi, s). In previous work (Foster, 2000), I described a Maximum Entropy/Minimum Divergence (MEMD) model (Berger et al., 1996) for p(w[hi, s) which incorporates a trigram language model and a translation component which is an analog of the well-known IBM translation model 1 (Brown et al., 1993). This model significantly outperforms an equivalent linear combination of a trigram and model 1 in testcorpus perplexity, despite using several orders of magnitude fewer translation parameters.",However this appears to be weak technique even when is allowed to depend on various features of the context previous work described Maximum Divergence model for which incorporates trigram language model and translation component which is an analog of the well known translation model This model significantly outperforms an equivalent linear combination of trigram and model in testcorpus perplexity despite using several orders of magnitude fewer translation parameters
76,A,J96-1002,W02-0813,1,"(Berger et al., 1996)","We developed an automatic WSD system that uses a maximum entropy framework to combine linguistic contextual features from corpus instances of each verb to be tagged. Under the maximum entropy framework (Berger et al., 1996), evidence from different features can be combined with no assumptions of feature independence. The automatic tagger estimates the conditional probability that a word has sensex given that it occurs in contexty, where y is a conjunction of features.",developed an automatic system that uses maximum entropy framework to combine linguistic contextual features from corpus instances of each verb to be tagged Under the maximum entropy framework evidence from different features can be combined with no assumptions of feature independence The automatic tagger estimates the conditional probability that word has sensex given that it occurs in contexty where is conjunction of features
77,A,J96-1002,W96-0213,0,"(Berger et al., 1996)","A Maximum Entropy model is well-suited for such experiments since it cornbines diverse forms of contextual information in a principled manner, and does not impose any distributional assumptions on the training data. Previous uses of this model include language modeling(Lau et al., 1993), machine translation(Berger et al., 1996), prepositional phrase attachment(Ratnaparkhi et al., 1994), and word morphology(Della Pietra et al., 1995). This paper briefly describes the maximum entropy and maximum likelihood properties of the model, features used for POS tagging, and the experiments on the Penn Treebank Wall St.",Maximum Entropy model is well suited for such experiments since it cornbines diverse forms of contextual information in principled manner and does not impose any distributional assumptions on the training data Previous uses of this model include language modeling machine translation prepositional phrase attachment and word morphology This paper briefly describes the maximum entropy and maximum likelihood properties of the model features used for tagging and the experiments on the Penn Treebank Wall
78,A,N03-1028,C04-1081,0,"(Malouf, 2002; Sha and Pereira, 2003)","M} is written Traditional maximum entropy learning algorithms, such as GIS and IIS (della Pietra et al., 1995), can be used to train CRFs. However, our implementation uses a quasi-Newton gradient-climber BFGS for optimization, which has been shown to converge much faster (Malouf, 2002; Sha and Pereira, 2003). The gradient of the likelihood is∂PΛ(y|x)/∂λk = CRFs share many of the advantageous properties of standard maximum entropy classifiers, including their convex likelihood function, which guarantees that the learning procedure converges to the global maximum.",is written Traditional maximum entropy learning algorithms such as and can be used to train However our implementation uses quasi gradient climber for optimization which has been shown to converge much faster The gradient of the likelihood share many of the advantageous properties of standard maximum entropy classifiers including their convex likelihood function which guarantees that the learning procedure converges to the global maximum
79,A,N03-1028,C08-1094,1,Sha and Pereira (2003),"Word classes are straightforwardly extracted from the treebank trees, by measuring the span of constituents starting and ending at each word position. We trained log linear models with the perceptron algorithm (Collins, 2002) using features similar to those used for NP chunking in Sha and Pereira (2003), including surrounding POStags (provided by a separately trained log linear POS-tagger) and surrounding words, up to 2 before and 2 after the current word position. Table 2 presents classification accuracy on the development set for both of these classification tasks.",Word classes are straightforwardly extracted from the treebank trees by measuring the span of constituents starting and ending at each word position trained log linear models with the algorithm using features similar to those used for chunking in including surrounding and surrounding words up to before and after the current word position Table presents classification accuracy on the development set for both of these classification tasks
80,A,N03-1028,C08-1106,2,(McDonald 2005; Sha & Pereira 2003; Kudo & Matsumoto 2001),"As the representative problem in shallow parsing, noun phrase chunking has received much attention, with the development of standard evaluation datasets and with c© 2008. Licensed under the Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported license ( Some rights reserved. extensive comparisons among methods (McDonald 2005; Sha & Pereira 2003; Kudo & Matsumoto 2001). Syntactic contexts often have a complex underlying structure.",the representative problem in shallow parsing noun phrase chunking has received much attention with the development of standard evaluation datasets and with under the Creative Commons Attribution Noncommercial Share Alike Unported license Some rights reserved extensive comparisons among methods contexts often have complex underlying structure
81,A,N03-1028,C08-1113,0,"(Sha and Pereira, 2003)","Then the maximum likelihood estimator for this model can be obtained by maximizing the log likelihood function: This modeling naturally embraces label ambiguities in the incomplete annotation.4 Unfortunately, equation (3) is not a concave function5 so that there are local maxima in the objective function. Although this non-concavity prevents efficient global maximization of equation (3), it still allows us to incorporate incomplete annotations using gradient ascent iterations (Sha and Pereira, 2003). Gradient ascent methods require the partial derivative of equation (3): Equations (3) and (4) include the summations of all of the label sequences in Y or YL.",Then the maximum likelihood estimator for this model can be obtained by maximizing the log likelihood function This modeling naturally embraces label ambiguities in the incomplete Unfortunately equation is not concave so that there are local maxima in the objective function Although this non concavity prevents efficient global maximization of equation it still allows us to incorporate incomplete annotations using gradient ascent iterations Gradient ascent methods require the partial derivative of equation Equations and include the summations of all of the label sequences in or
82,A,N03-1028,C10-1082,0,"(Sha and Pereira, 2003; McCallum and Li, 2003)","To extend the problem to event classification, the alphabet γ must be extended with the event classes (state, aspectual, etc.). CRFs have been successfully applied to many sequence labeling tasks (Sha and Pereira, 2003; McCallum and Li, 2003). From our point of view, the task addressed in this paper is well suited for this ML technique.",extend the problem to event classification the alphabet must be extended with the event classes have been successfully applied to many sequence labeling tasks From our point of view the task addressed in this paper is well suited for this technique
83,A,N03-1028,P03-1064,0,"(ShaandPereira,2003)","In this paper, we will focus on the NP chunking task, and use it as an applicationof supertagging. (Abney, 1991) proposeda two-phaseparsing modelwhich includeschunkingandattaching. (Ramshaw and Marcus, 1995) approachedchucking by usingTransformationBasedLearning(TBL). Many machinelearningtechniqueshave beensuccessfullyappliedto chunkingtasks,suchasRegularizedWinnow (Zhangetal.,2001),SVMs(Kudoand Matsumoto,2001),CRFs(ShaandPereira,2003), MaximumEntropy Model (Collins,2002),Memory BasedLearning(Sang,2002)andSNoW(Muñozet al., 1999). Thepreviousbestresulton chunkingin literature wasachievedby RegularizedWinnow (Zhangetal., 2001),which took someof theparsingresultsgiven by anEnglishSlotGrammar-basedparserasinputto thechunker.",this paper we will focus on the chunking task and use it as an applicationof supertagging proposeda phaseparsing modelwhich includeschunkingandattaching approachedchucking by usingTransformationBasedLearning Many machinelearningtechniqueshave beensuccessfullyappliedto chunkingtasks suchasRegularizedWinnow MaximumEntropy Model Memory BasedLearningandSNoW Thepreviousbestresulton chunkingin literature wasachievedby RegularizedWinnow which took someof theparsingresultsgiven by anEnglishSlotGrammar basedparserasinputto thechunker
84,A,N03-1028,P10-1038,1,"(Sha and Pereira, 2003; Culotta and McCallum, 2004)","The standard Viterbi algorithm for making predictions from a trained CRF is not tuned to minimize false positives. To address this difficulty, we use the forward-backward algorithm (Sha and Pereira, 2003; Culotta and McCallum, 2004) to estimate separately for each position the probability of a hyphen at that position. Then, we only allow a hyphen if this probability is over a high threshold such as 0.9.",The standard algorithm for making predictions from trained is not tuned to minimize false positives address this difficulty we use the forward backward algorithm to estimate separately for each position the probability of hyphen at that position Then we only allow hyphen if this probability is over high threshold such as
85,A,N03-1028,W05-0622,0,"(Sha and Pereira, 2003)","These models allow for the use of very large sets of arbitrary, overlapping and non-independent features. CRFs have been applied with impressive empirical results to the tasks of named entity recognition (McCallum and Li, 2003; Cohn et al., 2005), part-of-speech (PoS) tagging (Lafferty et al., 2001), noun phrase chunking (Sha and Pereira, 2003) and extraction of table data (Pinto et al., 2003), among other tasks. While CRFs have not been used to date for SRL, their close cousin, the maximum entropy model has been, with strong generalisation performance (Xue and Palmer, 2004; Lim et al., 2004).",These models allow for the use of very large sets of arbitrary overlapping and non independent features have been applied with impressive empirical results to the tasks of named entity recognition part of speech tagging noun phrase chunking and extraction of table data among other tasks While have not been used to date for their close cousin the maximum entropy model has been with strong generalisation performance
86,A,N03-1028,W06-1655,0,"(Finkel et al., 2005; Culotta et al., 2005; Sha and Pereira, 2003)","We have presented the intuitive argument that the log-odds may be advantageous because it does not exhibit the 0-1 asymmetry of the log-probability, but it would be satisfying to justify the choice on more theoretical grounds. There is a significant volume of work exploring the use of CRFs for a variety of chunking tasks, including named-entity recognition, gene prediction, shallow parsing and others (Finkel et al., 2005; Culotta et al., 2005; Sha and Pereira, 2003). The current work indicates that these systems might be improved by moving to a semi-CRF model.",have presented the intuitive argument that the log odds may be advantageous because it does not exhibit the asymmetry of the log probability but it would be satisfying to justify the choice on more theoretical grounds There is significant volume of work exploring the use of for variety of chunking tasks including named entity recognition gene prediction shallow parsing and others The current work indicates that these systems might be improved by moving to semi model
87,A,N04-4028,C04-1081,1,"(Culotta and McCallum, 2004)","A confidence threshold of 0.9 is determined by cross-validation. Segment confidence is estimated using constrained forward-backward (Culotta and McCallum, 2004). The standard forward-backward algorithm (Rabiner, 1990) calculatesZx, the total likelihood of all label sequencesy given a sequencex.",confidence threshold of is determined by cross validation Segment confidence is estimated using constrained forward backward The standard forward backward algorithm calculatesZx the total likelihood of all label sequencesy given sequencex
88,A,N04-4028,D07-1068,0,"(Culotta and McCallum, 2004)","As for the marginal probability to use as a confidence measure shown in Figure 4, Peng et al. (2004) has applied linear-chain CRFs to Chinese word segmentation. It is calculated by constrained forwardbackward algorithm (Culotta and McCallum, 2004), and confident segments are added to the dictionary in order to improve segmentation accuracy. In this paper, we proposed a method for categorizing NEs in Wikipedia.",for the marginal probability to use as confidence measure shown in Figure has applied linear chain to word segmentation is calculated by constrained forwardbackward algorithm and confident segments are added to the dictionary in order to improve segmentation accuracy this paper we proposed method for categorizing in Wikipedia
89,A,N04-4028,D10-1095,0,"(Culotta and McCallum, 2004)","Here, the random method performing the worst, while KD-PC and KD-Fixed are the best, and as shown in (Dredze and Crammer, 2008), MinConfMargin outperforming MinMargin. Related Work: Most previous work has focused on confidence estimation for an entire example or some fields of an entry (Culotta and McCallum, 2004) using CRFs. (Kristjansson et al., 2004) show the utility of confidence estimation is extracted fields of an interactive information extraction system by high-lighting low confidence fields for the user. (Scheffer et al., 2001) estimate confidence of single token label in HMM based information extraction system by a method similar to the Delta method we used. (Ueffing and Ney, 2007) propose several methods for word level confidence estimation for the task of machine translation. One of the methods they use is very similar to the weighted and non-weighted K-best Viterbi methods we used with the proper adjustments to the machine translation task.",Here the random method performing the worst while and Fixed are the best and as shown in MinConfMargin outperforming MinMargin Related Work Most previous work has focused on confidence estimation for an entire example or some fields of an entry using show the utility of confidence estimation is extracted fields of an interactive information extraction system by high lighting low confidence fields for the user estimate confidence of single token label in based information extraction system by method similar to the method we used propose several methods for word level confidence estimation for the task of machine translation One of the methods they use is very similar to the weighted and non weighted best methods we used with the proper adjustments to the machine translation task
90,A,N04-4028,P08-1004,1,"(Culotta and McCallum, 2004)","H-CRF uses the probability distribution over the set of possible labels according to each O-CRF and R1-CRF as features. To obtain the probability at each position of a linear-chain CRF, the constrained forward-backward technique described in (Culotta and McCallum, 2004) is used. H-CRF also computes the Monge Elkan distance (Monge and Elkan, 1996) between the relations predicted by O-CRF and R1CRF and includes the result in the feature set.",uses the probability distribution over the set of possible labels according to each and as features obtain the probability at each position of linear chain the constrained forward backward technique described in is used also computes the Monge distance between the relations predicted by and and includes the result in the feature set
